,Name,Images,Breed
4389,Kerry_Blue_Terrier,n02093859_2700.jpg,25
2576,Basenji,n02110806_582.jpg,14
2106,Irish_Wolfhound,n02090721_5049.jpg,12
4577,Standard_Poodle,n02113799_5157.jpg,26
323,Toy_Poodle,n02113624_681.jpg,1
347,Norwich_Terrier,n02094258_1704.jpg,2
63,Australian_Terrier,n02096294_6207.jpg,0
1442,Schipperke,n02104365_9994.jpg,8
4562,Standard_Poodle,n02113799_5009.jpg,26
395,Norwich_Terrier,n02094258_807.jpg,2
2145,Irish_Wolfhound,n02090721_1835.jpg,12
2522,Basenji,n02110806_1369.jpg,14
5103,Afghan_Hound,n02088094_2522.jpg,29
624,Whippet,n02091134_125.jpg,3
2132,Irish_Wolfhound,n02090721_3761.jpg,12
4955,Chihuahua,n02085620_4980.jpg,28
3392,Japanese_Spaniel,n02085782_2459.jpg,19
5128,Afghan_Hound,n02088094_1259.jpg,29
2822,African_hunting_dog,n02116738_6283.jpg,15
2563,Basenji,n02110806_1904.jpg,14
563,Whippet,n02091134_10918.jpg,3
4722,Saint_Bernard,n02109525_883.jpg,27
3796,Dhole,n02115913_3465.jpg,21
3516,Japanese_Spaniel,n02085782_82.jpg,19
3831,Dhole,n02115913_25.jpg,21
2795,African_hunting_dog,n02116738_9798.jpg,15
3532,Japanese_Spaniel,n02085782_50.jpg,19
2227,Irish_Wolfhound,n02090721_1534.jpg,12
1407,Schipperke,n02104365_6693.jpg,8
4286,Walker_Hound,n02089867_2677.jpg,24
4295,Walker_Hound,n02089867_758.jpg,24
2745,African_hunting_dog,n02116738_8749.jpg,15
2968,Komondor,n02105505_1225.jpg,16
3107,Yorkshire_Terrier,n02094433_2474.jpg,17
4765,Saint_Bernard,n02109525_18685.jpg,27
1888,Pomeranian,n02112018_3599.jpg,10
3459,Japanese_Spaniel,n02085782_1528.jpg,19
4255,Walker_Hound,n02089867_2567.jpg,24
3829,Dhole,n02115913_1010.jpg,21
508,Norwich_Terrier,n02094258_112.jpg,2
591,Whippet,n02091134_14932.jpg,3
987,Irish_Setter,n02100877_1749.jpg,5
3409,Japanese_Spaniel,n02085782_3420.jpg,19
4927,Chihuahua,n02085620_2981.jpg,28
1212,Kelpie,n02105412_7256.jpg,7
1982,Pekinese,n02086079_3996.jpg,11
959,Irish_Setter,n02100877_5916.jpg,5
2404,Blenheim_Spaniel,n02086646_3968.jpg,13
1978,Pekinese,n02086079_11089.jpg,11
1385,Schipperke,n02104365_6354.jpg,8
80,Australian_Terrier,n02096294_7295.jpg,0
587,Whippet,n02091134_9740.jpg,3
1061,Rottweiler,n02106550_8024.jpg,6
1483,Schipperke,n02104365_8548.jpg,8
4987,Chihuahua,n02085620_949.jpg,28
3166,Yorkshire_Terrier,n02094433_4916.jpg,17
947,Irish_Setter,n02100877_4406.jpg,5
344,Toy_Poodle,n02113624_1293.jpg,1
1907,Pomeranian,n02112018_2782.jpg,10
2561,Basenji,n02110806_5343.jpg,14
1423,Schipperke,n02104365_6291.jpg,8
2585,Basenji,n02110806_1916.jpg,14
3290,Basset,n02088238_9900.jpg,18
3496,Japanese_Spaniel,n02085782_1077.jpg,19
1362,Schipperke,n02104365_10514.jpg,8
2931,Komondor,n02105505_32.jpg,16
3729,Dhole,n02115913_2338.jpg,21
4519,Kerry_Blue_Terrier,n02093859_1662.jpg,25
4726,Saint_Bernard,n02109525_16487.jpg,27
561,Whippet,n02091134_13544.jpg,3
1684,Leonberg,n02111129_2781.jpg,9
1510,Schipperke,n02104365_9337.jpg,8
1,Australian_Terrier,n02096294_2821.jpg,0
1474,Schipperke,n02104365_1292.jpg,8
1412,Schipperke,n02104365_2031.jpg,8
4727,Saint_Bernard,n02109525_11465.jpg,27
4395,Kerry_Blue_Terrier,n02093859_1169.jpg,25
1774,Pomeranian,n02112018_13600.jpg,10
697,Whippet,n02091134_7310.jpg,3
3200,Basset,n02088238_10005.jpg,18
1121,Rottweiler,n02106550_5028.jpg,6
1120,Rottweiler,n02106550_11415.jpg,6
3492,Japanese_Spaniel,n02085782_2635.jpg,19
22,Australian_Terrier,n02096294_8467.jpg,0
3474,Japanese_Spaniel,n02085782_757.jpg,19
12,Australian_Terrier,n02096294_2188.jpg,0
1547,Leonberg,n02111129_17.jpg,9
3841,Dhole,n02115913_3601.jpg,21
189,Australian_Terrier,n02096294_7161.jpg,0
3719,Dhole,n02115913_3196.jpg,21
3055,Yorkshire_Terrier,n02094433_6338.jpg,17
975,Irish_Setter,n02100877_7493.jpg,5
1261,Kelpie,n02105412_5961.jpg,7
3956,miniature_pinscher,n02107312_3020.jpg,22
1777,Pomeranian,n02112018_6676.jpg,10
158,Australian_Terrier,n02096294_2432.jpg,0
3973,miniature_pinscher,n02107312_5719.jpg,22
1925,Pomeranian,n02112018_2786.jpg,10
2447,Blenheim_Spaniel,n02086646_1476.jpg,13
4399,Kerry_Blue_Terrier,n02093859_3179.jpg,25
2062,Pekinese,n02086079_20360.jpg,11
2513,Basenji,n02110806_4994.jpg,14
693,Whippet,n02091134_14579.jpg,3
1273,Kelpie,n02105412_6476.jpg,7
3064,Yorkshire_Terrier,n02094433_2006.jpg,17
4921,Chihuahua,n02085620_11818.jpg,28
2953,Komondor,n02105505_4398.jpg,16
149,Australian_Terrier,n02096294_8531.jpg,0
4725,Saint_Bernard,n02109525_10960.jpg,27
88,Australian_Terrier,n02096294_6995.jpg,0
